PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage
Jiri Tlusty,-,20,C,Left,TOR,Entry-Level,18,,3,RFA,2010,"$821,667","$855,000","$850,000","$850,000",$0,$0,2009,0.02013889705882353
Michal Neuvirth,-,20,G,Left,WSH,Entry-Level,19,,3,RFA,2011,"$821,667","$821,667","$850,000","$850,000",$0,$0,2009,0.02013889705882353
Bobby Ryan,-,21,"RW, LW",Right,ANA,Entry-Level,19,,3,RFA,2010,"$821,667","$1,921,667","$850,000","$765,000","$85,000","$1,100,000",2009,0.02013889705882353
Chris Stewart,-,20,"RW, LW",Right,COL,Entry-Level,20,,3,RFA,2010,"$811,667","$850,000","$850,000","$850,000",$0,$0,2009,0.019893799019607843
Andrew Raycroft,-,28,G,Left,COL,Standard (1-way),28,,1,UFA,2009,"$800,000","$800,000","$800,000","$800,000",$0,$0,2009,0.0196078431372549
Mikael Tellqvist,-,28,G,Left,ARI,Standard (1-way),27,,2,UFA,2009,"$800,000","$800,000","$800,000","$800,000",$0,$0,2009,0.0196078431372549
Brendan Shanahan,-,39,LW,Right,NJD,35+ (1-way),39,,1,UFA,2009,"$800,000","$800,000","$800,000","$800,000",$0,$0,2009,0.0196078431372549
Alexandre Picard,-,22,D,Left,TBL,Standard (1-way),22,,2,UFA,2010,"$800,000","$800,000","$750,000","$750,000",$0,$0,2009,0.0196078431372549
Steve Montador,-,Deceased (35),D,Right,ANA,Standard (1-way),28,,1,UFA,2009,"$800,000","$800,000","$800,000","$800,000",$0,$0,2009,0.0196078431372549
Teddy Purcell,-,22,"RW, LW",Right,LAK,Entry-Level,22,,2,RFA,2009,"$800,000","$1,350,000","$850,000","$765,000","$85,000","$850,000",2009,0.0196078431372549
Mike Moore,-,23,LD,Left,SJS,Entry-Level,23,,2,RFA,2010,"$795,000","$1,000,000","$715,000","$715,000",$0,"$160,000",2009,0.01948529411764706
Leland Irving,-,20,G,Left,CGY,Entry-Level,19,,3,RFA,2011,"$793,333","$1,193,333","$850,000","$765,000","$85,000",$0,2009,0.019444436274509803
Michael Grabner,-,20,"LW, RW",Left,VAN,Entry-Level,18,,3,RFA,2011,"$793,333","$843,333","$850,000","$765,000","$85,000","$100,000",2009,0.019444436274509803
Marc Staal,PHI,21,LD,Left,NYR,Entry-Level,18,,3,RFA,2010,"$793,333","$826,667","$765,000","$765,000",$0,$0,2009,0.019444436274509803
